,precision,recall,f1-score,support
Apple - Apple Scab,0.96,0.9411764705882353,0.9504950495049505,51.0
Apple - Black Rot,0.9795918367346939,0.96,0.9696969696969697,50.0
Apple - Cedar Apple Rust,1.0,0.9772727272727273,0.9885057471264368,44.0
Apple - Healthy,0.9607843137254902,0.9607843137254902,0.9607843137254902,51.0
Bell Pepper - Bacterial Spot,0.9791666666666666,0.9791666666666666,0.9791666666666666,48.0
Bell Pepper - Healthy,0.98,0.98,0.98,50.0
Cherry - Healthy,0.92,1.0,0.9583333333333334,46.0
Cherry - Powdery Mildew,1.0,1.0,1.0,43.0
Corn (Maize) - Cercospora Leaf Spot,0.9069767441860465,0.8666666666666667,0.8863636363636364,45.0
Corn (Maize) - Common Rust,1.0,1.0,1.0,48.0
Corn (Maize) - Healthy,1.0,0.9787234042553191,0.989247311827957,47.0
Corn (Maize) - Northern Leaf Blight,0.8823529411764706,0.9375,0.9090909090909091,48.0
Grape - Black Rot,0.9591836734693877,0.9791666666666666,0.9690721649484536,48.0
Grape - Esca (Black Measles),0.9787234042553191,0.9583333333333334,0.968421052631579,48.0
Grape - Healthy,0.9555555555555556,1.0,0.9772727272727273,43.0
Grape - Leaf Blight,0.8431372549019608,1.0,0.9148936170212766,43.0
Peach - Bacterial Spot,1.0,1.0,1.0,46.0
Peach - Healthy,1.0,1.0,1.0,44.0
Potato - Early Blight,0.9795918367346939,0.9795918367346939,0.9795918367346939,49.0
Potato - Healthy,0.9565217391304348,0.9565217391304348,0.9565217391304348,46.0
Potato - Late Blight,1.0,0.9387755102040817,0.968421052631579,49.0
Strawberry - Healthy,0.9782608695652174,0.9782608695652174,0.9782608695652174,46.0
Strawberry - Leaf Scorch,1.0,0.9555555555555556,0.9772727272727273,45.0
Tomato - Bacterial Spot,0.84,0.9767441860465116,0.9032258064516129,43.0
Tomato - Early Blight,0.9487179487179487,0.7708333333333334,0.8505747126436781,48.0
Tomato - Healthy,1.0,0.9591836734693877,0.9791666666666666,49.0
Tomato - Late Blight,0.875,0.8936170212765957,0.8842105263157894,47.0
Tomato - Septoria Leaf Spot,0.8409090909090909,0.8409090909090909,0.8409090909090909,44.0
Tomato - Yellow Leaf Curl Virus,1.0,0.9387755102040817,0.968421052631579,49.0
accuracy,0.9550810014727541,0.9550810014727541,0.9550810014727541,0.9550810014727541
macro avg,0.9560163405423786,0.9554330543311754,0.9547558475918433,1358.0
weighted avg,0.9569759047279073,0.9550810014727541,0.955083765512971,1358.0
